scope	offset_or_func	role	confidence	evidence
identity	MURawNoteSeparation	interval_gate_carrier_family	very_high	014baaf0 registers string MURawNoteSeparation with size 0x48
builder	014ba9e0	constructor_with_start_weight_flag	very_high	allocates 0x48 and writes start/end at +0x10/+0x18 scalar at +0x20 class at +0x3c
abi	014ba9e0	xmm0_start_xmm1_strength_esi_flag	very_high	disassembly stores xmm0 to +0x10/+0x18 xmm1 to +0x20 and esi to +0x3c
builder	014ba950	copy_constructor_clone	very_high	clones +0x10..+0x40 from source object
implementation	014ba9e0_014ba950	carrier_constructor_and_clone_clean_room	very_high	core_reconstruction exposes make_raw_note_separation(start,strength,flags) and clone_raw_note_separation(source)
builder	014a2170	class1_class2_positive_run_builder	medium_high	detects positive-to-nonpositive runs gates length by param_3 sampleRate-like extracts local max above g_0239424c passes max as xmm1 and flag 1 or 2 as esi to 014ba9e0
implementation	014a2170_prepared_subset	class12_prepared_positive_run_builder_clean_room	high	core_reconstruction implements the prepared-buffer materializer only: strict positive-run length gate local max >0 start from peak time or overlapping existing item start and canonical flags 1/2; preprocessing via 015c2d90 remains outside
transform	015c2d90_015c2da0	class12_output_only_zero_state_high_shelf_preprocessor	high	015c2d90 wrapper sets r8d=0 then 015c2da0 output-only rdx=0 branch builds RBJ-style high-shelf coefficients with exp10(gain/40) sin/cos 2pi cutoff/sampleRate and applies forward then reverse filtering
implementation	014a2170_raw_preprocess_subset	class12_raw_buffer_preprocessor_clean_room	high	core_reconstruction implements the 014a2170 preprocessing subset: adaptive cutoff clamp reference*0.3 to 15..30 separate baseline subtract per branch then max residual shared baseline at cutoff 7.0; generic 015c2da0 output modes remain outside
builder	014afb20	class8_masked_contrast_peak_builder	high	removes prior class 8 items builds positive mask and local contrast gate g_02391090 then calls 014ba9e0 with esi 8 and xmm1 holding accepted contrast
transform	014afb20	class8_delta_moving_contrast_smooth_pipeline	high	delta=input[i]-input[i-1]; moving contrast abs(sum(delta over 0.0227*rate))*0.01; clamp 4.0; smooth with 5*(rate/441) then 30*(rate/441); accept valley segment max-min >0.1 under mask
transform	015c1480	width_to_exponential_alpha	very_high	uses expf stub 0x1f9b1c6 and constant -2.5f to compute alpha=expf(-2.5f/width) after FLT_MIN guard
transform	015c0b60	bidirectional_exponential_smoother_core	high	uses logf stub 0x1f9b322 to recover radius=max(1,trunc(-2.5/logf(alpha))) then applies recurrence state=sample+alpha*(state-sample) in-place with mode-dependent scratch edge loops
transform	015c0b60_mode0	scratch_prefix_bzero_and_loop_order	high	mode 0 branch calls bzero on 2*radius float scratch prefix then common loop performs left warmup forward buffer right tail warmup reverse and reverse buffer; do not replace with guessed independent zero-state passes
