kind	address_or_slot	finding	confidence	evidence
identity	self+0x158	working_slot_is_nested_GNList_of_peak_lists	high	01484bc0 stores a GNList in self+0x158 and 0149c330/0149ebe0/014b3460/014b3ce0 all consume it as outer-list of inner-lists
identity	g_025e4538	MUPitchMatrixPeak_family	very_high	01198120 registers string MUPitchMatrixPeak with size 0x38 and uses vtable g_025e4538
builder	0149c330	allocates_outer_GNList	very_high	0149c330 allocates g_02572358 before per-row loop
builder	0149c330	allocates_inner_GNList_per_row	very_high	0149c330 allocates a g_02572358 object inside each row iteration
builder	0149c330	allocates_MUPitchMatrixPeak_nodes	very_high	0149c330 allocates g_025e4538 for each detected local peak
field	0149c330	peak+0x0c_row_or_slice_index	high	0149c330 writes iVar14 to +0x0c on the allocated peak node
field	0149c330	peak+0x10_pitch_bin_index	high	0149c330 writes uVar17 to +0x10 on the allocated peak node
field	0149c330_0149ded0	peak+0x18_primary_peak_value	high	0149c330 seeds +0x18 and 0149ded0 rewrites it as pow(weightBase, mirroredExponent) * peak +0x1c
field	0149c330	peak+0x1c_working_peak_quality	high	0149c330 seeds +0x1c with the same fVar21 and downstream consumers prefer +0x1c
consumer	0149ebe0	prunes_inner_peaks_by_peak_plus_0x10	very_high	0149ebe0 iterates each inner list and removes entries based on threshold comparison against peak +0x10
helper	014b3460	resets_peak_linkage_and_assigns_local_rank	high	014b3460 writes +0x14 and clears +0x20 +0x28 +0x30 for each inner peak
field	014b3460	peak+0x14_local_rank_in_row	high	014b3460 writes the current inner index to +0x14
field	014b3460	peak+0x20_adjacency_claimed_flag	high	014b3460 clears +0x20 before inter-row linkage pass and sets selected next-row target +0x20 to 1
field	014b3460	peak+0x28_next_row_link	high	014b3460 clears +0x28 then writes current peak +0x28 to the selected next-row peak
field	014b3460	peak+0x30_previous_row_link	high	014b3460 clears +0x30 then writes selected next-row peak +0x30 back to the current peak
helper	014b3460	nearest_unclaimed_next_row_linker	high	014b3460 links adjacent rows by nearest pitch-bin distance under strict 20-bin threshold while excluding targets already marked by +0x20
helper	014b3ce0	consumes_peak_lattice_for_item_selection	high	014b3ce0 walks outer and inner lists using peak +0x10 +0x1c +0x28/+0x30 and writes result back to source item +0x38
helper	014b3ce0_scalar_tail	converts_peak_bin_to_frequency	high	final selected chain scan uses max peak +0x1c above 0.4f and writes exp2(pitchBin/60)*21.533203125 to item +0x38
field	014b3ce0_item_plus_0x30	selected_peak_anchor_time	high	selected peak +0x0c multiplied by param_1 is written to source item +0x30
correction	014328b0	not_peak_builder_but_MUPosValue_helper	very_high	assembly and adjacent registration resolve 014328b0 as MUPosValue builder rather than MUPitchMatrixPeak
