scope	target	role	confidence	evidence
constant	DAT_0239425c	scalar_difference_gate_threshold	high	lldb memory read 0x0239425c gives raw 0x3a83126f and float 0.00100000005
constant	_DAT_02390140	float_abs_sign_mask	high	lldb memory read 0x02390140 gives 0x7fffffff; used to mask sign bit in 01519670 diff
constant	g_023941f4	cent_to_octave_factor	high	lldb memory read gives 0.000833333004, used as 1/1200 before exp2f
constant	g_023941f8	c_minus_one_base_hz	high	lldb memory read gives 8.17579936, multiplied after exp2f in 01773e80
constant	g_02394204	reciprocal_c_minus_one_base_hz	high	lldb memory read gives 0.122312203, used before logf in pitch-to-cent conversions
constant	g_02394208	log_to_cents_factor	high	lldb memory read gives 1731.23401, equal to 1200/ln(2) within float precision
constant	g_023908e0	cent_grid_step	high	lldb memory read gives 100.0; used by 01767a10 quantization and 01774c90 extrapolation
constant	g_0241b664	negative_cent_step_for_index_offset	high	lldb memory read gives -100.0; used in 01774880 probeCent formula
constant	g_02411fd0	default_standard_pitch_hz	high	lldb memory read gives 440.0 and 017737b0 falls back to it
constant	g_02411fd4	a4_cent_offset_negative	high	lldb memory read gives -6899.99951, used after log-to-cent conversion
constant	g_02411fd8	initial_min_distance_threshold	high	lldb memory read gives 100000.0; used by 01773fe0 multi-candidate nearest-to-average selector
constant	g_0239394c	tuning_transform_lower_bound_cents	high	lldb memory read as float gives 1200.0; used by 017792c0 lower-domain branch
constant	g_024120f0	tuning_transform_upper_bound_cents	high	lldb memory read as float gives 10800.0; used by 017792c0 upper-domain branch
constant	g_02391074	float_lower_reduction_sentinel	medium_high	GNUni/00e3c4f0 initializes max-reduction with this value and keeps larger observed floats; exact raw value not read in this pass
constant	g_02391078	float_upper_reduction_sentinel	medium_high	GNUni/00e3c730 initializes min-reduction with this value and keeps smaller observed floats; exact raw value not read in this pass
constant	g_024179c8	tuning_transform_lower_anchor_double	high	lldb memory read as double gives 1200.0; mapper lookup anchor in 017792c0
constant	g_024120e8	tuning_transform_lower_next_double	high	lldb memory read as double gives 1201.0; mapper lookup anchor+1 in 017792c0
constant	g_02412068	tuning_transform_upper_anchor_double	high	lldb memory read as double gives 10800.0; mapper lookup upper anchor in 017792c0
constant	g_024120e0	tuning_transform_upper_prev_double	high	lldb memory read as double gives 10799.0; mapper lookup upper anchor-1 in 017792c0
